latitude,longitude,name_of_spiecies,picture_name,weather_desc,temp,pressure,humidity,temp_min,temp_max,sea_level,grnd_level,wind_speed,wind_deg,clouds_all,timespan
-77.043959498405,39.903883387232,lis,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-77.043959498405,40.903883387232,koza,sample.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-77.043959498405,42.903883387232,pies,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-77.043959498405,43.903883387232,dzik,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-78.043959498405,38.903883387232,dawid,wild_boar.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-79.043959498405,38.903883387232,zuk,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-80.043959498405,38.903883387232,lis,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-81.043959498405,38.903883387232,malpa,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-82.043959498405,38.903883387232,zyrafa,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-75.043959498405,38.903883387232,slon,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
-77.043959498405,34.903883387232,zaba,Vulpes_vulpes_laying_in_snow_hilifg.jpg,"clear sky",285.514,1013.75,100,285.514,285.514,1023.22,1013.75,5.52,311,0,1485792967
